ingredient,local_alias,product_name,brand_name,expiry_date,Estimated Total Qty,minQty,unit,price
Onion White,,Onion White,Generic,3/22/2023,200,100,Kg
Papaya,,Papaya,Generic,3/22/2023,200,100,Kg
Yam Elephant,,Yam Elephant,Generic,3/22/2023,200,100,Kg
Red Cabbage,,Red Cabbage,Generic,3/22/2023,200,100,Kg
Butternut Squash,,Butternut Squash,Generic,3/22/2023,200,100,Kg
Jalapeno Pepper,,Jalapeno Pepper,Generic,3/22/2023,200,100,Kg
Onion Yellow,,Onion Yellow,Generic,3/22/2023,200,100,Kg
Zucchini,,Zucchini,Generic,3/22/2023,200,100,Kg
Strawberry,,Strawberry,Generic,3/22/2023,200,100,Kg
Eggplant,,Eggplant,Generic,3/22/2023,200,100,Kg
Flour Double Zero,,Flour Double Zero,Generic,3/22/2023,200,100,Kg
Flour Whole Wheat,,Flour Whole Wheat,Generic,3/22/2023,200,100,Kg
Wheat Flour,,Wheat Flour,Generic,3/22/2023,200,100,Kg
White Flour,,White Flour,Generic,3/22/2023,200,100,Kg
Whole wheat flour,,Whole wheat flour,Generic,3/22/2023,200,100,Kg
Chicken Whole,,Chicken Whole,Generic,3/22/2023,200,100,Kg
Mustard Greens,,Mustard Greens,Generic,3/22/2023,200,100,Kg
Turnip,,Turnip,Generic,3/22/2023,200,100,Kg
Ginger,,Ginger,Generic,3/22/2023,200,100,Kg
Bitter Gourd,,Bitter Gourd,Generic,3/22/2023,200,100,Kg
Broccoli,,Broccoli,Generic,3/22/2023,200,100,Kg
Carrot,,Carrot,Generic,3/22/2023,200,100,Kg
Carrots Baby,,Carrots Baby,Generic,3/22/2023,200,100,Kg
Fresh Spinach,,Fresh Spinach,Generic,3/22/2023,200,100,Kg
Green Beans,,Green Beans,Generic,3/22/2023,200,100,Kg
Pear,,Pear,Generic,3/22/2023,200,100,Kg
Radish,,Radish,Generic,3/22/2023,200,100,Kg
Tomato,,Tomato,Generic,3/22/2023,200,100,Kg
Kiwi,,Kiwi,Generic,3/22/2023,200,100,Kg
Lime,,Lime,Generic,3/22/2023,200,100,Kg
Chicken Drumsticks,,Chicken Drumsticks,Generic,3/22/2023,200,100,Kg
Chicken Leg,,Chicken Leg,Generic,3/22/2023,200,100,Kg
Chicken Thighs,,Chicken Thighs,Generic,3/22/2023,200,100,Kg
Goat Bone in Leg,,Goat Bone in Leg,Generic,3/22/2023,200,100,Kg
Chicken Wing,,Chicken Wing,Generic,3/22/2023,200,100,Kg
Guava,,Guava,Generic,3/22/2023,200,100,Kg
Taro,,Taro,Generic,3/22/2023,200,100,Kg
Plum,,Plum,Generic,3/22/2023,200,100,Kg
Cauliflower,,Cauliflower,Generic,3/22/2023,200,100,Kg
Apple,,Apple,Generic,3/22/2023,200,100,Kg
Beef Rib,,Beef Rib,Generic,3/22/2023,200,100,Kg
Brussel Sprouts,,Brussel Sprouts,Generic,3/22/2023,200,100,Kg
Custard Apples,,Custard Apples,Generic,3/22/2023,200,100,Kg
Grapes,,Grapes,Generic,3/22/2023,200,100,Kg
Kale,,Kale,Generic,3/22/2023,200,100,Kg
Sprouts,,Sprouts,Generic,3/22/2023,200,100,Kg
Celery,,Celery,Generic,3/22/2023,200,100,Kg
Chicken,,Chicken,Generic,3/22/2023,200,100,Kg
Chicken Breast,,Chicken Breast,Generic,3/22/2023,200,100,Kg
Beef Chuck Steak,,Beef Chuck Steak,Generic,3/22/2023,200,100,Kg
Beef Shank,,Beef Shank,Generic,3/22/2023,200,100,Kg
Goat Shank,,Goat Shank,Generic,3/22/2023,200,100,Kg
Tamarind,,Tamarind,Generic,3/22/2023,200,100,Kg
Tamarind Pulp,,Tamarind Pulp,Generic,3/22/2023,200,100,Kg
Beef,,Beef,Generic,3/22/2023,200,100,Kg
Goat Ribs,,Goat Ribs,Generic,3/22/2023,200,100,Kg
Fish,,Fish,Generic,3/22/2023,200,100,Kg
Lamb Shoulder chop,,Lamb Shoulder chop,Generic,3/22/2023,200,100,Kg
Chicken Pieces Boneless,,Chicken Pieces Boneless,Generic,3/22/2023,200,100,Kg
Chicken Skinless,,Chicken Skinless,Generic,3/22/2023,200,100,Kg
Chicken Tenderloins,,Chicken Tenderloins,Generic,3/22/2023,200,100,Kg
Beef Round,,Beef Round,Generic,3/22/2023,200,100,Kg
Beef Sirloin,,Beef Sirloin,Generic,3/22/2023,200,100,Kg
Lamb Shank,,Lamb Shank,Generic,3/22/2023,200,100,Kg
Peppers Pimento,,Peppers Pimento,Generic,3/22/2023,200,100,Kg
skinless boneless chicken thighs,,skinless boneless chicken thighs,Generic,3/22/2023,200,100,Kg
Beef Chuck,,Beef Chuck,Generic,3/22/2023,200,100,Kg
Beef Brain,,Beef Brain,Generic,3/22/2023,200,100,Kg
Beef Kidney,,Beef Kidney,Generic,3/22/2023,200,100,Kg
Beef Mince,,Beef Mince,Generic,3/22/2023,200,100,Kg
Beef Tongue,,Beef Tongue,Generic,3/22/2023,200,100,Kg
Chicken Full,,Chicken Full,Generic,3/22/2023,200,100,Kg
Beef Veal,,Beef Veal,Generic,3/22/2023,200,100,Kg
Beef Ribeye Steak,,Beef Ribeye Steak,Generic,3/22/2023,200,100,Kg
Beef Flank,,Beef Flank,Generic,3/22/2023,200,100,Kg
Cheese Cream,,Cheese Cream,Generic,3/22/2023,200,100,Kg
Lamb Bone in Leg,,Lamb Bone in Leg,Generic,3/22/2023,200,100,Kg
Lamb Loin Chop,,Lamb Loin Chop,Generic,3/22/2023,200,100,Kg
Beef Brisket,,Beef Brisket,Generic,3/22/2023,200,100,Kg
Beef Loin,,Beef Loin,Generic,3/22/2023,200,100,Kg
Lamb Rack,,Lamb Rack,Generic,3/22/2023,200,100,Kg
Lamb Ribs,,Lamb Ribs,Generic,3/22/2023,200,100,Kg
Garcinia Gummi Gutta,,Garcinia Gummi Gutta,Generic,3/22/2023,200,100,Kg
Tandoori Naan,,Tandoori Naan,Generic,3/22/2023,200,100,Kg
Tomato Juice,,Tomato Juice,Generic,3/22/2023,200,100,Kg
Goat Ground,,Goat Ground,Generic,3/22/2023,200,100,Kg
Bengal Gram Split,,Bengal Gram Split,Generic,3/22/2023,200,100,Kg
Goat Brain,,Goat Brain,Generic,3/22/2023,200,100,Kg
Goat Tongue,,Goat Tongue,Generic,3/22/2023,200,100,Kg
Goat Trotter,,Goat Trotter,Generic,3/22/2023,200,100,Kg
Goat Sirloin Chop,,Goat Sirloin Chop,Generic,3/22/2023,200,100,Kg
Goat kabob & Stew,,Goat kabob & Stew,Generic,3/22/2023,200,100,Kg
Gelatin Powder,,Gelatin Powder,Generic,3/22/2023,200,100,Kg
Goat Loin Chop,,Goat Loin Chop,Generic,3/22/2023,200,100,Kg
Goat Shoulder chop,,Goat Shoulder chop,Generic,3/22/2023,200,100,Kg
Chana Dal,,Chana Dal,Generic,3/22/2023,200,100,Kg
Goat BRT boneless,,Goat BRT boneless,Generic,3/22/2023,200,100,Kg
Goat Kidney,,Goat Kidney,Generic,3/22/2023,200,100,Kg
Egg Yolks,,Egg Yolks,Generic,3/22/2023,200,100,Kg
Flour All Purpose,,Flour All Purpose,Generic,3/22/2023,200,100,Kg
Flour Unbleached,,Flour Unbleached,Generic,3/22/2023,200,100,Kg
Sugar,,Sugar,Generic,3/22/2023,200,100,Kg
Sugar Granulated,,Sugar Granulated,Generic,3/22/2023,200,100,Kg
Baking Soda,,Baking Soda,Generic,3/22/2023,200,100,Kg
Flour Bread,,Flour Bread,Generic,3/22/2023,200,100,Kg
Rice,,Rice,Generic,3/22/2023,200,100,Kg
Rice Brown,,Rice Brown,Generic,3/22/2023,200,100,Kg
Rice Long Grain,,Rice Long Grain,Generic,3/22/2023,200,100,Kg
Black Tea,,Black Tea,Generic,3/22/2023,200,100,Kg
French Bread,,French Bread,Generic,3/22/2023,200,100,Kg
Tea Black,,Tea Black,Generic,3/22/2023,200,100,Kg
Beans French,,Beans French,Generic,3/22/2023,200,100,Kg
Corn,,Corn,Generic,3/22/2023,200,100,Kg
Corn Kernels,,Corn Kernels,Generic,3/22/2023,200,100,Kg
Salt,,Salt,Generic,3/22/2023,200,100,Kg
Sweet Corn,,Sweet Corn,Generic,3/22/2023,200,100,Kg
Tomato Puree,,Tomato Puree,Generic,3/22/2023,200,100,Kg
Beans,,Beans,Generic,3/22/2023,200,100,Kg
Beef Broth,,Beef Broth,Generic,3/22/2023,200,100,Kg
Chicken Broth,,Chicken Broth,Generic,3/22/2023,200,100,Kg
Chicken Stock,,Chicken Stock,Generic,3/22/2023,200,100,Kg
Chickpea,,Chickpea,Generic,3/22/2023,200,100,Kg
Cluster Beans,,Cluster Beans,Generic,3/22/2023,200,100,Kg
Corn Starch,,Corn Starch,Generic,3/22/2023,200,100,Kg
